;Estimate;Std. Error;t value;Pr(>|t|);Rsquared
Intercept;15.8131984249948;0.6497409328051;24.3376977293475;4.3531425003003e-30;NA
log average biovolume;0.0349222661419177;0.0856322230546764;0.407816881264659;0.685082377542356;0.00318816097882611
